addr,code,color,inventory,lat,lng,name,openTime,price,regDt,tel
경북 포항시 남구 섬안로 65 (괴동동),A0000656,YELLOW,550,35.99851370,129.36630660,CJ대한통운㈜ 형산강주유소,,1200,2021-12-28 12:03:10,054-288-1268
경북 칠곡군 지천면 금호로 272,A0000658,YELLOW,700,35.96146080,128.45101230,영남복합물류주유소,"00:00~24:00(평일), 휴무(토)20:00~(일)20:00",1500,2021-12-28 12:09:27,054-380-1111
경기 파주시 탄현면 새오리로,A0000695,GREEN,1260,37.78783560,126.68800870,성동IC주유소,,1500,2021-12-28 11:04:06,031-944-4651
충남 공주시 우금티로 157 (태봉동),A0000781,GREEN,1460,36.41623930,127.09433140,조이오토주유소,,3000,2021-12-28 10:19:57,041-854-0477
서울 금천구 시흥대로 377 (독산동),A0001162,GREEN,2400,37.46696900,126.89732400,명보에너지,,1800,2021-12-28 12:41:01,02-806-8336
인천 동구 인중로 441,A0001248,GREEN,1300,37.48746690,126.62232490,광역주유소 만석점,04:00~24:00,1200,2021-12-28 12:41:02,032-761-5149 
인천 중구 축항대로 245,A0001271,GREEN,2000,37.45438620,126.62248010,백년탑주유소,,2000,2021-12-28 14:32:09,032-887-9071
인천 남동구 소래로 446 (수산동),A0001291,YELLOW,463,37.43002610,126.73412090,남동농협주유소,,1400,2021-12-28 12:18:22,032-464-1861
인천 부평구 경인로 1020,A0001314,YELLOW,636,37.48679200,126.73313260,구도일주유소,,2000,2021-12-28 11:56:46,032-514-8072
인천 중구 인중로 180,A0001327,GREEN,1400,37.46891610,126.62426280,알뜰 부광주유소,"06:00~22:00(평일,토), 08:00~20:00(일)",1200,2021-12-28 10:52:50,032-765-5145 
인천 동구 중봉대로 70 (송현동),A0001500,GREEN,1000,37.48575990,126.64543700,송현주유소,,2000,2021-12-28 09:17:41,032-766-1363
인천 중구 축항대로 296번길 183,A0001505,GRAY,0,37.43169560,126.62382050,내트럭하우스 인천사업소주유소,"04:00~24:00(평일), 07:00~23:00(주말)",1200,2021-12-28 13:53:38,032-891-7800~3
인천 중구 축항대로 299,A0001520,GREEN,2600,37.44823600,126.62882750,(주)동성주유소,,2000,2021-12-28 10:31:30,032-881-4520
인천광역시 동구 중봉대로 91 (송현동),A0001525,GREEN,2903,37.48813670,126.64560220,kh에너지(주)직영북항주유소,,1500,2021-12-28 09:10:30,032-772-6084
인천 중구 축항대로 216 (항동7가),A0001527,GREEN,2072,37.45088617,126.61968540,현대오일뱅크(주) 하이웨이주유소,,2000,2021-12-28 13:18:11,032-889-5145
인천 중구 축항대로 282,A0001540,GREEN,3850,37.44759120,126.62683720,오일캠프주유소,00:00~24:00,1500,2021-12-28 12:58:09,032-888-2066 
인천 동구 인중로 431,A0001541,GREEN,2190,37.48726630,126.62118710,갤러리주유소,04:00~23:00,1400,2021-12-28 12:36:46,032-772-2031
인천 동구 중봉대로 83,A0001542,GREEN,4900,37.48729530,126.64551780,(주)창조 청라주유소,,1400,2021-12-28 12:22:13,032-777-8580
경기 포천시 신북면 호국로 2272,A0001567,RED,150,37.94977160,127.23847590,(주)고래주유소,,1500,2021-12-28 14:54:42,031-531-1846
경기 화성시 남양읍 시청로 275,A0001569,GREEN,1320,37.19249550,126.83925680,행정타운오일뱅크,,1500,2021-12-28 12:31:34,031-357-7561
인천 중구 축항대로 173 (항동7가),A0001684,GREEN,3300,37.45328200,126.61606840,남항주유소,,1900,2021-12-28 12:23:49,032-886-5145
충남 천안시 동남구 목천읍 충절로 1140,A0001753,YELLOW,830,36.76932920,127.23387700,워터파크주유소,,1500,2021-12-28 12:02:34,041-568-5152
인천 계양구 드림로 764 (갈현동),A0001772,GREEN,5210,37.57663700,126.71879140,서일석유(주) 갈현주유소,,1400,2021-12-28 14:08:08,032-513-8903
경기 화성시 장안면 포승향남로 1237,A0001880,GREEN,1470,37.05763220,126.79671450,만남주유소,,1800,2021-12-28 11:24:23,031-358-0663
경기 군포시 번영로 82,A0001982,GREEN,1000,37.32959800,126.93483590,한국복합물류직영 군포터미널 주유소,"00:00~24:00(1층), 06:00~24:00(3층)",1500,2021-12-28 09:31:55,031-460-2091
경기 화성시 향남읍 발안로 724,A0001988,GREEN,1850,37.12494290,126.98364870,쌍용주유소,,2400,2021-12-28 11:36:32,031-352-6667
경기 화성시 향남읍 서해로 430-9,A0001994,GREEN,1215,37.09982520,126.90241950,SK향남주유소,,1500,2021-12-28 12:20:44,031-366-0252
경기도 부천시 오정구 소사로 584,A0002002,GREEN,3322,37.50953760,126.79859450,고객행복주유소,,2000,2021-12-28 10:54:18,032-674-4544
경기 화성시 서신면 전곡항로 190,A0002016,YELLOW,900,37.19516270,126.66584200,휴게주유소,,1300,2021-12-28 09:16:52,031-357-1588
경기 평택시 경기대로 1078 (장당동),A0002027,YELLOW,800,37.04287750,127.06233150,동일석유(주) 금성셀프주유소,,1800,2021-12-28 12:55:53,031-665-0190
경기 화성시 마도면 화성로 726,A0002055,GREEN,1233,37.20757470,126.76791290,지성주유소,,1500,2021-12-28 13:16:33,031-356-4550
경기 수원시 영통구 권선로 927,A0002081,GREEN,2080,37.24778160,127.04805660,대신자연에너지,,1800,2021-12-28 13:04:02,031-202-5151
경기 오산시 경기대로 437 (수청동),A0002108,YELLOW,837,37.16228770,127.06743670,오산주유소,,2000,2021-12-28 12:35:11,031-373-3490
경기 광주시 도척면 마도로 196,A0002110,YELLOW,452,37.28859990,127.33304200,유정주유소,,1400,2021-12-28 14:23:40,031-763-2525
경기 화성시 비봉면 푸른들판로 1672,A0002122,GREEN,2050,37.25198770,126.87214750,비봉주유소,,1200,2021-12-28 09:43:24,031-356-5154
경기 화성시 서신면 전곡항로 382,A0002124,YELLOW,400,37.18825500,126.68373120,해양산업단지주유소,,1500,2021-12-28 10:04:23,031-357-5136
경기 화성시 비봉면 화성로 2087,A0002125,GRAY,0,37.24908030,126.89427830,쌍학주유소,,1000,2021-12-28 14:19:58,031-356-7780
경기 화성시 서신면 마도로 6,A0002153,GREEN,1480,37.17982100,126.70890820,상안주유소,,2000,2021-12-28 14:35:33,031-355-0008
경기 화성시 팔탄면 온천로 127,A0002174,YELLOW,950,37.13532320,126.86336540,덕우주유소,,2000,2021-12-28 09:12:59,031-353-5095
경기 화성시 우정읍 기아자동차로 571,A0002206,GREEN,1526,37.06503110,126.79665010,SK기양주유소,,1800,2021-12-28 14:19:47,031-358-5759
경기 화성시 향남읍 3.1만세로 1015,A0002232,GREEN,1380,37.12717340,126.90107360,동현주유소,,2000,2021-12-28 09:01:24,031-354-1151
경기 오산시 발안로 1252 (벌음동),A0002278,RED,20,37.13854730,127.03713300,거창주유소,,1800,2021-12-28 08:50:51,031-378-5689
경기 화성시 남양읍 화성로 1166,A0002314,YELLOW,830,37.21102050,126.81327030,화성허브주유소,,2000,2021-12-28 09:40:49,031-355-6072
경기 화성시 남양읍 화성로 957,A0002330,GREEN,2020,37.20285240,126.79225680,남양신도시주유소,,2000,2021-12-28 09:30:53,031-356-5160
경기 화성시 팔탄면 삼천병마로 355,A0002331,GREEN,1070,37.14345710,126.91783290,발안주유소,,1500,2021-12-28 10:03:56,031-354-3343
경기 화성시 남양읍 시청로 270,A0002367,YELLOW,900,37.19233490,126.83860030,산들주유소,,2000,2021-12-28 12:01:11,031-355-9545
경기 용인시 처인구 백암면 죽양대로 1454,A0002375,YELLOW,370,37.17358750,127.34752080,백암셀프주유소,,2000,2021-12-28 11:03:51,031-337-2066
경기 화성시 마도면 화성로 570,A0002481,YELLOW,400,37.21103560,126.75181560,미소주유소,,1200,2021-12-28 08:26:19,031-355-5180
경기 화성시 팔탄면 서해로 1380,A0002488,GREEN,1456,37.18386060,126.88309850,동그라미주유소,,1000,2021-12-28 13:58:10,031-354-9938
경기 수원시 권선구 서수원로63번길 171 (오목천동),A0002521,RED,50,37.23059450,126.96958720,희망주유소,,1600,2021-12-28 11:58:49,031-293-5454
경기 화성시 남양읍 온석길 15-2,A0002539,GREEN,2000,37.16632850,126.84948570,CJ대한통운㈜ 힘찬주유소,,2000,2021-12-28 09:01:51,031-357-5160
경기도 화성시 팔탄면 서해안고속도로 301,A0002561,YELLOW,200,37.14360860,126.87910240,화성(목포방향),매일 24시간,1300,2021-12-28 13:45:19,031-353-8015
경기도 화성시 팔탄면 3.1만세로 784,A0002601,GREEN,1390,37.11294920,126.88355900,㈜효창에너지직영3주유소,,2000,2021-12-28 13:41:46,031-352-9696
경기 화성시 우정읍 포승향남로 976,A0002627,GREEN,2241,37.03654960,126.80601630,(주)소모에너지 우정셀프주유소,,2000,2021-12-28 10:45:28,031-8055-0973
경기 화성시 송산면 화성로 618,A0002659,GREEN,1597,37.21129000,126.75752710,대경석유㈜송산마도주유/충전소,,2000,2021-12-28 13:04:01,031-366-7131
경기 수원시 권선구 정조로 235 (대황교동),A0002664,GREEN,1400,37.23127510,127.02088620,(주)대황교동주유소,,2000,2021-12-28 09:57:46,031-232-3100
경기 평택시 안중읍 서해로 1209,A0002746,GREEN,1500,37.00114830,126.94323380,금곡주유소,,1500,2021-12-28 12:36:43,031-681-5088
경기 평택시 만세로 1465 (청룡동),A0002747,GREEN,2188,37.03280710,127.12639870,평원주유소,,2000,2021-12-28 12:32:20,031-655-7771
평택시 포승읍 포승공단로 68 ,A0002768,GREEN,1800,36.97789620,126.84335760,포승행복주유소,"04:00~22:00(평일,토), 06:00~22:00(일)",1300,2021-12-28 13:41:58,031-681-5022
경기 안성시 서동대로 5046 (신소현동),A0002785,GRAY,0,37.02304070,127.25817280,신도시주유소,,1300,2021-12-28 14:32:19,031-676-5193
경기 안성시 중앙로 162 (옥산동),A0002814,YELLOW,400,37.01216400,127.24724100,옥산주유소,,2000,2021-12-28 12:30:00,031-672-6751
경기 안성시 일죽면 일생로 167,A0002827,GREEN,3160,37.07401010,127.49094890,일죽공단주유소,,2000,2021-12-28 12:04:45,031-674-4809
경기 평택시 평택로 258 (세교동),A0002840,GREEN,1010,37.00610370,127.07266010,평택주유소,,1500,2021-12-28 12:25:34,031-655-4051
경기 안성시 보개면 서동대로 5816,A0002857,GREEN,1270,37.02458380,127.33242820,보개주유소,,1500,2021-12-28 08:46:31,031-671-5144
경기 안성시 죽산면 죽양대로 200,A0002858,YELLOW,597,37.09801360,127.43385080,매산주유소,,1500,2021-12-28 11:39:51,031-671-3303
경기 평택시 현덕면 서해로 471,A0002967,GREEN,1900,36.94275590,126.91417120,기산셀프주유소,,1300,2021-12-28 10:31:18,031-684-0099
충북 충주시 산척면 북부로 3008,A0003017,GREEN,1150,37.07739860,127.95048690,동충주주유소,,1400,2021-12-28 12:13:27,043-856-4098
경기 평택시 팽성읍 사거리길 7,A0003029,YELLOW,700,36.94310520,127.05107880,서경주유소,,2000,2021-12-28 12:15:31,031-655-3900
경기 평택시 진위면 동부대로 77,A0003145,YELLOW,630,37.11076500,127.08131370,진위주유소,,2000,2021-12-28 09:04:13,031-666-5185
경기 평택시 포승읍 포승향남로 547,A0003185,GREEN,1501,37.00440660,126.82758430,남양주유소,,2000,2021-12-28 06:09:35,031-684-5671
경기 안성시 양성면 양성로 684,A0003186,GREEN,2123,37.10754090,127.21978470,미리내주유소(주),,1500,2021-12-28 12:01:33,031-674-9817
경기 평택시 오성면 청오로 253,A0003245,GREEN,1210,37.02844830,126.97401560,영차주유소,,1500,2021-12-28 13:49:49,031-683-5189
경기 평택시 포승읍 서동대로 524,A0003247,GREEN,1210,36.94525930,126.87557470,항만주유소,,1500,2021-12-28 14:33:38,031-684-5145
경기 평택시 팽성읍 안정로 200,A0003249,YELLOW,510,36.96888700,127.06179250,현대드림주유소,,2000,2021-12-28 11:18:37,031-691-5755
경기도 안성시 대덕면 안성대로 1539,A0003256,GREEN,3059,37.05155160,127.24844730,(주)태현주유소,,2000,2021-12-28 12:36:13,031-677-5144
경기 안성시 안성맞춤대로 1250 (당왕동),A0003286,GREEN,1000,37.02391050,127.26588290,안일주유소,,1300,2021-12-28 12:03:30,031-674-2700
경기 안성시 원곡면 남북대로 1106,A0003290,GREEN,2943,37.03784340,127.15110570,삼미상사(주) 서안성셀프주유소,,2000,2021-12-28 12:15:28,031-652-5210
경기 평택시 포승읍 포승공단로 240,A0003338,GREEN,1400,36.98525150,126.85999710,SK에너지(주)직영 평택항주유소,,1500,2021-12-28 04:46:45,031-682-6003
경기 안성시 보개면 서동대로 5623,A0003367,GREEN,1006,37.01574720,127.31492330,서안성주유소,,2000,2021-12-28 13:39:24,031-673-6543
경기 평택시 청원로 1626,A0003398,GREEN,4000,37.04411098,127.10112860,현대오일뱅크(주)직영 송탄self주유소,,2000,2021-12-28 09:01:51,031-668-5189
경기도 안성시 원곡면 경부고속도로 372,A0003399,GREEN,1300,37.07678380,127.13245530,안성(서울방향),매일 24시간,1300,2021-12-28 12:05:05,031-664-4096
경기 안성시 원곡면 남북대로 1201-4,A0003412,GREEN,2788,37.04518420,127.15693400,㈜소모에너지 칠곡주유소/충전소,,2000,2021-12-28 14:32:07,031-618-1325
경기 평택시 삼남로 445 (장안동),A0003413,GREEN,1276,37.06462730,127.09225130,(주)소모에너지 송탄주유소,,2000,2021-12-28 09:02:30,031-667-5189
경기 안성시 양성면 남북대로 1916,A0003417,GREEN,1560,37.08241020,127.21074960,㈜대호페트로 갤러리IC주유소,,2200,2021-12-28 13:29:12,031-677-8915
경기 광주시 오포읍 포은대로 429,A0003444,YELLOW,700,37.36756960,127.23202580,삼원셀프주유소,,2000,2021-12-28 09:35:13,031-766-5992
경기 광주시 순암로 120 (장지동),A0003452,GREEN,2000,37.39594130,127.23728290,형제주유소,,2000,2021-12-28 11:30:03,031-768-5189
경기 여주시 가남읍 경충대로 1394,A0003483,YELLOW,980,37.21209270,127.54199060,성신주유소,,2000,2021-12-28 11:02:23,031-883-7799
경기 이천시 백사면 이여로 121,A0003485,GREEN,1401,37.30881750,127.46438880,(주)유공 모전주유소,,1500,2021-12-28 09:03:46,031-638-5151
경기 광주시 회안대로 968 (송정동),A0003509,YELLOW,880,37.43200320,127.26131320,밀목주유소,,2000,2021-12-28 12:02:45,031-765-1248
경기 여주시 세종로 432,A0003562,GREEN,2400,37.26002120,127.64264810,남한강주유소,,1500,2021-12-28 12:13:20,031-883-6600
경기 광주시 도척면 마도로 66,A0003585,YELLOW,850,37.28057350,127.34217720,경원주유소,,2200,2021-12-28 11:54:41,031-761-0551
경기 광주시 경충대로 1920 (장지동),A0003587,GREEN,2010,37.40720570,127.22724590,장미주유소,,1800,2021-12-28 14:06:45,031-761-2549
경기 광주시 초월읍 산수로 378,A0003627,YELLOW,650,37.39460000,127.31334830,두월self주유소,,1200,2021-12-28 14:13:16,031-769-5151
경기 광주시 오포읍 포은대로 38,A0003637,YELLOW,700,37.34313610,127.20202260,대원셀프주유소,,2000,2021-12-28 09:34:56,031-767-5907
경기 이천시 장호원읍 장여로 361,A0003641,YELLOW,800,37.14966980,127.62608790,대림주유소,,2000,2021-12-28 09:18:10,031-642-9977
경기 여주시 세종로 270,A0003765,GREEN,1700,37.27418200,127.63763960,대학주유소,,1500,2021-12-28 09:25:58,031-884-3355
경기 여주시 점동면 장여로 931,A0003901,GREEN,1374,37.18385430,127.66208600,덕평알뜰주유소,,1600,2021-12-28 14:49:44,031-882-7338
경기 광주시 회안대로 993 (송정동),A0003911,GREEN,1478,37.43418880,127.26206820,서민주유소,,2000,2021-12-28 12:01:28,031-798-0391
경기 이천시 부발읍 중부대로 1500,A0003917,YELLOW,304,37.28184400,127.47590300,만남주유소,,1600,2021-12-28 12:59:30,031-633-6636
경기 이천시 호법면 중부대로 908-3,A0003986,GREEN,1108,37.24369980,127.43289910,(주)GS파트너주유소,,2000,2021-12-28 09:54:15,031-635-5155
경기 이천시 부발읍 중부대로 1921,A0003989,GREEN,1071,37.29282040,127.51931590,신원시엠주유소,,1400,2021-12-28 12:53:30,031-631-5175
경기 이천시 부발읍 경충대로 1922,A0004002,GREEN,2330,37.24207060,127.50280160,씨앤에프주유소,,2000,2021-12-28 14:49:04,031-633-5189
충남 홍성군 은하면 서해안고속도로 220,A0004007,GRAY,0,36.55363270,126.58203660,㈜케이알산업 홍성(상)주유소/충전소,,1300,2021-12-28 09:30:44,041-642-1178
충남 홍성군 은하면 서해안고속도로 221,A0004008,GRAY,0,36.55356880,126.57927060,㈜케이알산업 홍성(하)주유소/충전소,,1300,2021-12-28 09:30:27,041-642-1145
충남 천안시 서북구 입장면 연곡길407,A0004009,GREEN,2500,36.94304230,127.19257590,입장거봉포도(서울방향),매일 24시간,1300,2021-12-28 12:12:01,041-588-2184
충북 청주시 흥덕구 옥산면 경부고속도로 318,A0004010,GREEN,1477,36.71714640,127.34819760,(주)썬엘 청주(서울)주유소,,1200,2021-12-28 12:19:49,043-231-8833
경기 광주시 초월읍 경충대로 898,A0004022,GREEN,1142,37.36335250,127.31407850,(주)대기주유소,,1500,2021-12-28 13:56:16,031-762-4543
경기 광주시 퇴촌면 광동로 65,A0004039,GREEN,1300,37.47066120,127.31029830,퇴촌농협주유소,,2000,2021-12-28 13:32:06,031-768-7708
경기 이천시 백사면 이여로 176,A0004045,GREEN,1780,37.31318120,127.46722270,이천농협주유소,,1500,2021-12-28 08:40:55,031-637-5063
경기 이천시 부발읍 무촌로 173,A0004047,GREEN,2702,37.28754840,127.48972450,부발농협주유소,,2000,2021-12-28 12:18:58,031-633-3206
경기 이천시 설성면 진상미로 690 (설성면),A0004048,GREEN,1467,37.13446620,127.51535050,설성농협주유소,,2000,2021-12-28 12:57:55,031-642-5022
경기 이천시 신둔면 서이천로853번길 346-129,A0004061,GREEN,2300,37.29413950,127.37582070,대보건설㈜이천(하남)주유소/충전소,,1600,2021-12-28 12:09:26,031-637-0953
경기 여주시 금사면 이여로 1197,A0004062,GREEN,1355,37.38525540,127.52632720,(주)유정 이포나루주유소,,1300,2021-12-28 08:26:01,031-884-0502
경기 광주시 경충대로 2187 (삼동),A0004067,GREEN,1557,37.41105200,127.20162000,(주)대지석유 갈마주유소,,1800,2021-12-28 10:09:20,031-761-2859
경기 이천시 장호원읍 서동대로 8420,A0004137,GREEN,1000,37.10905380,127.57344060,장호원주유소,,2000,2021-12-28 08:32:05,031-641-0880
경기 여주시 장여로 1705,A0004174,YELLOW,564,37.24864730,127.64923440,조양주유소,,1400,2021-12-28 10:12:16,031-885-9000
경기 이천시 마장면 덕평로 971,A0004188,YELLOW,870,37.24439240,127.36204820,(주)덕평톨게이트주유소,,1900,2021-12-28 11:25:28,031-634-5108
경기 이천시 호법면 중부대로 915,A0004198,GREEN,1000,37.24450600,127.43310380,대보에너지㈜행운을주는주유소,,2000,2021-12-28 11:03:22,031-637-5155
경기 양주시 평화로 1309,A0004253,GREEN,1700,37.80801300,127.04594850,산북주유소,,1500,2021-12-28 04:09:54,031-840-1150
전북 전주시 덕진구 온고을로 377 (팔복동3가),A0004362,GREEN,2500,35.84775980,127.08688370,서부대로주유소,,1500,2021-12-28 11:24:57,063-212-1912
강원 속초시 온천로 118 (노학동),A0004384,GREEN,1010,38.18937560,128.55589500,온정주유소,,1500,2021-12-28 12:24:54,033-637-5189
경기 포천시 영중면 호국로 3283,A0004410,GREEN,1156,38.03105530,127.26047320,대길주유소,,2000,2021-12-28 13:59:37,031-532-7306
경기 가평군 청평명 경춘로 1362,A0004441,YELLOW,873,37.77364610,127.45755680,호명주유소,,1500,2021-12-28 12:11:31,031-584-0551
경기 양주시 부흥로1398번길 102 (유양동),A0004794,GREEN,1490,37.77970590,127.02895340,유양주유소,,2300,2021-12-28 12:06:51,031-842-4026
경기 양주시 평화로 2023,A0004848,YELLOW,948,37.86836670,127.06030020,대경석유(주)남경주유소,,2000,2021-12-28 12:55:57,031-865-0201
경기 양주시 은현면 은현로 1148,A0004882,YELLOW,400,37.87593910,127.02465060,은현농협클린주유소,,1500,2021-12-28 12:08:10,031-861-2009
경기 포천시 군내면 호국로 1698,A0004883,YELLOW,700,37.90397540,127.21083810,포천농협주유소,,1500,2021-12-28 07:40:18,031-535-8090
경기도 양주시 평화로 1998-0,A0004926,YELLOW,300,37.86588090,127.06052130,동일석유㈜신내IC주유소,,1800,2021-12-28 08:54:07,031-858-3336
경기 양주시 은현면 화합로 1006,A0004931,YELLOW,940,37.85643430,127.03089300,서정주유소,,2000,2021-12-28 12:41:44,031-864-5454
경기 양주시 부흥로 1300,A0005003,GREEN,3890,37.78734260,127.02003180,(주)어하둥둥알뜰주유소,,1700,2021-12-28 08:20:54,031-826-5182
경기 포천시 호국로 2659,A0005031,GREEN,3960,37.98049760,127.24386080,동해주유소,,2000,2021-12-28 09:00:10,031-533-5177
경기 포천시 군내면 호국로 1537,A0005036,GREEN,2349,37.89148700,127.20150290,유니콘스주유소,,2000,2021-12-28 12:54:54,031-536-8251
경기 고양시 덕양구 자유로 38 (덕은동),A0005110,YELLOW,580,37.57920950,126.85988540,GS칼텍스 상암주유소,,1800,2021-12-28 14:40:43,02-3158-0030
경기 파주시 광탄면 부흥로 303,A0005152,GREEN,1255,37.80199200,126.88097450,세광주유소,,2000,2021-12-28 09:22:05,031-941-0675
경기 고양시 덕양구 자유로 487 (행주외동),A0005180,GRAY,0,37.60412550,126.82200160,자유제일주유소,,1300,2021-12-28 12:28:43,031-971-8533
경기 용인시 처인구 중부대로 1201 (삼가동),A0005315,GREEN,3500,37.23852060,127.17848090,(주)한결에너지 한결주유소,,2000,2021-12-28 09:07:52,031-337-0599
경기 고양시 일산동구 장항로 79 (백석동),A0005348,GREEN,1000,37.63157730,126.78608890,백신주유소,,2000,2021-12-28 14:53:31,031-938-7777
경기 파주시 파주읍 통일로 1116,A0005554,GREEN,3339,37.80848010,126.79399650,삼미상사(주)파주역셀프주유소,,2000,2021-12-28 06:20:27,031-952-5184
경기 성남시 수정구 성남대로 1268 (태평동),A0005660,RED,6,37.44280950,127.12760320,GS칼텍스직영 성남제일점,,2200,2021-12-28 10:36:36,031-753-2217
경기 화성시 마도면 화성로 667,A0005996,GREEN,1700,37.21022370,126.76238350,마도IC주유소,,1800,2021-12-28 12:28:03,031-356-9880
전남 해남군 옥천면 공룡대로 3708,A0006096,GREEN,2584,34.59503680,126.64190480,영신주유소,,1500,2021-12-28 06:25:41,061-536-8600
인천 남동구 청능대로 469 (고잔동),A0006215,YELLOW,632,37.39923240,126.71125270,지에스칼텍스㈜ 논현신도시주유소,,3000,2021-12-28 05:40:07,032-424-5145
인천 남동구 논현고잔로 114 (고잔동),A0006218,GREEN,1380,37.39333590,126.71355850,동성제2셀프주유소,,2000,2021-12-28 08:01:32,032-427-9530
인천 남동구 논현고잔로 141 (고잔동),A0006272,GREEN,1180,37.39566210,126.71390470,동윤주유소,,2000,2021-12-28 10:20:06,032-437-5151
인천 남동구 인주대로 810 (구월동),A0006279,YELLOW,891,37.44829950,126.72725430,서일석유(주)남동서일주유소,,1500,2021-12-28 14:48:08,032-575-5100
경기 구리시 동구릉로 78,A0006301,YELLOW,360,37.60707060,127.13449620,㈜지에스이앤알 인창주유소,,2000,2021-12-28 13:07:43,031-553-5644
경기 남양주시 와부읍 석실로 460,A0006376,GREEN,1500,37.60842390,127.21092280,sk율석주유소,,2000,2021-12-28 10:43:45,031-521-9188
평택시 포승읍 서동대로 771 ,A0006491,YELLOW,600,36.95919260,126.85613400,만호주유소,05:00~23:00,1500,2021-12-28 09:28:34,031-681-1800
경기 남양주시 와부읍 덕소로 24,A0006589,YELLOW,840,37.58888250,127.20602240,㈜지에스이앤알직영 덕소주유소,,2000,2021-12-28 11:53:48,031-577-9425
경기 가평군 가평읍 경춘로 1776,A0006668,GREEN,1490,37.79763040,127.48214540,(주)오일유업직영GS경춘주유소,,2000,2021-12-28 12:13:15,031-581-4545
경기 가평군 청평면 경춘로 113,A0006712,YELLOW,818,37.68621310,127.37913190,화랑포주유소,,1500,2021-12-28 09:19:49,031-584-1818
경기 가평군 설악면 미사리로540번길 51,A0006770,YELLOW,875,37.70192170,127.54679860,가평(춘천방향)주유소,,1800,2021-12-28 13:27:39,031-584-5149
경기 가평군 설악면 미사리로 544,A0006771,YELLOW,792,37.70169790,127.54347420,가평(서울방향)주유소,,2000,2021-12-28 13:05:34,031-584-5159
경기 남양주시 경춘로 1272 (평내동),A0006802,YELLOW,984,37.64786290,127.23548640,(주)소모에너지 뉴평내셀프주유소,,2000,2021-12-28 14:11:28,031-592-0758
경기 시흥시 수인로 3105 (안현동),A0006862,GRAY,0,37.43188860,126.81021540,안현주유소,,2000,2021-12-28 11:17:42,031-313-8526
경기 시흥시 수인로 2099 (조남동),A0006864,YELLOW,268,37.37000400,126.87397860,조남주유소,,1500,2021-12-28 12:54:46,031-484-0051
경기 안산시 상록구 용담로 188 (팔곡이동),A0006898,GREEN,1176,37.29391020,126.89485650,보령주유소,,2200,2021-12-28 13:06:26,031-502-0544
충남 당진시 신평면 북부산업로 157,A0006910,GREEN,4000,36.89519390,126.80885260,박카스self주유소,,1500,2021-12-28 09:11:10,041-363-8668
경기 화성시 장안면 수정로 113,A0006935,GREEN,2040,37.07776380,126.85694910,승보스타주유소,,2500,2021-12-28 11:40:38,031-358-3400
경기 평택시 현덕면 서해로 318,A0006943,YELLOW,730,36.92917110,126.91537090,구도일주유소아산공원,,1500,2021-12-28 09:26:12,031-681-5154
경기 안성시 안성맞춤대로 1253 (당왕동),A0006992,YELLOW,350,37.02387700,127.26513760,(주)진성에너지 안성맞춤셀프주유소,,1500,2021-12-28 11:22:31,031-672-5189
경기 안산시 상록구 수인로 647 (사사동),A0007048,RED,110,37.29547520,126.93676040,대양석유(주) 국도주유소,,2000,2021-12-28 14:17:25,031-419-4540
경기 시흥시 옥구공원로 75 (정왕동),A0007075,GREEN,1330,37.35109490,126.72244060,SK에너지(주)파워디젤주유소,,1800,2021-12-28 10:33:44,031-433-5189
